title,description,State/Province,VCS Proponent,CCB Proponent,VCS Project Status,VCS Estimated Annual Emission Reductions,CCB Estimated Annual Emission Reductions,Total Buffer Pool Credits,VCS Project Type,AFOLU Activity,VCS Methodology,VCS Acres/Hectares,CCB Acres/Hectares,VCS Project Validator,Project Registration Date,Crediting Period Term,CCB Project Status,CCB Project Type,CCB Project Validator,CCB Standard Edition,Auditor Site Visit To and From Date,id
"Wind power project in Tirunelveli, Tamil Nadu by TVS Energy Limited","The project activity entails installation of 14.4 MW wind power project in Tirunelveli, Tamil Nadu, India. The project activity is promoted by TVS Energy Limited. The Project aims at generating electricity by utilizing the kinetic energy of wind. The project proponent has implemented 18 numbers of enercon make E53 800 kW wind electrical generators of total capacity 14.4 MW at Pillayarkulam, Alagiyapandiapuram and Kattarankulam village in Tirunelveli District. Generated energy is supplied to Tamil Nadu Electricity Grid (TNEB) grid, which is a part of southern regional grid  of India.","District: Tirunelveli, State: Tamil Nadu","TVS Energy Limited
Tamilnadu, India
+91 44 26258212
rragavan@scl.co.in",,Late to verify,28406,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,Bureau Veritas Certification Holding SAS (Bureau Veritas),16/11/2012,"CREDITING PERIOD HAS EXPIRED, 15/05/2012 - 14/05/2022",,,,,,923
Tuppadahalli Wind Energy Project,"56.1MW grid connected wind energy project in the State of Karnataka, India. The project activity is registered under UNFCCC – CDM category “Zero emissions – grid connected electricity generation from renewable sources” with capacity greater than 15 MW.",Karnataka,Tuppadahalli Energy India Pvt. Ltd.,,Withdrawn,128809,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Bureau Veritas Certification Holding SAS (Bureau Veritas),06/04/2020,"2nd, 29/07/2018 - 28/07/2025",,,,,,924
Bundled Wind Power Project by M/s D. J Malpani,"The project activity leads to the installation of 6 WEGs of total generating capacity of 6.2 MW. Two of the WEGs (1500 KW S-82 Suzlon made) have been installed at the Davangere district of the state of Karnataka. Four of the WEGs (800 KW, E-53, Enercon made) have been installed at Jamnagar district of Gujarat. The main purpose of the project activity is to generate electrical energy through sustainable means using wind power resources, to utilize the generated output for supply to Karnataka Power Transmission Company Limited (KPTCL) and Gujarat Electricity Development Authority (GEDA) and to contribute to climate change mitigation efforts.",Karnataka and Gujarat,M/s D. J. Malpani,,Registered,11233,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,TUV Rheinland (China) Ltd.,04/06/2020,"CREDITING PERIOD HAS EXPIRED, 29/03/2009 - 28/03/2019",,,,,,925
"Wind power project by Sargam Retails Pvt. Ltd. in Gujarat, India","The project activity leads to the installation of 12 Wind Energy Convertors (WECs) of installed capacity of 800 KW each with a total generating capacity of 9.6 MW. Their locations are in Jamnagar & Rajkot districts of Gujarat state of India. The main purpose of the project activity is to generate electrical energy through sustainable means using wind power resources, to utilize the generated output for supply to Gujarat Electricity Distribution Authority i.e. Gujarat Electricity Transmission Corporation Limited (GETCO) and to contribute to climate change mitigation efforts. This renewable energy produced is partially contributing to the electricity provided by the Gujarat Electricity Transmission Corporation Limited (GETCO).",Gujarat,Sargam Retails Pvt. Limited,,Registered,16181,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,TUV Rheinland (China) Ltd.,06/04/2020,"CREDITING PERIOD HAS EXPIRED, 15/09/2009 - 14/09/2019",,,,,,926
"13.75 MW wind power project in Davangere, Karnataka, India","The project activity leads to the installation of 10 Wind Turbine Generators (WTGs) of total generating capacity of 13.75 MW (5 nos of Suzlon make S 82 WTGs each having generating capacity of 1500 kW & 5 nos of Suzlon make S 64 WTGs each having generating capacity of 1250 kW). Their locations are in Davangere district of Karnataka state of India. The main purpose of the project activity is to generate electrical energy through sustainable means using wind power resources, to utilize the generated output for supply to Karnataka Power Transmission Company Limited (KPTCL) and to contribute to climate change mitigation efforts. This renewable energy produced is partially contributing to the electricity provided by the KPTCL.",Karnataka,Sargam Retails Pvt. Limited,,Registered,26475,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,TUV Rheinland (China) Ltd.,06/04/2020,"CREDITING PERIOD HAS EXPIRED, 31/03/2009 - 30/03/2019",,,,,,927
Yunnan Mangli Hydropower Project,"The purpose of the proposed project is to generate hydropower and deliver it to China Southern Power Grid (CSPG). The proposed project involves the installation of 2 turbines, each of which has a rated output of 18MW,providing a total capacity of 36MW. The annual grid-connected output of the proposed project is estimated to be 143,6521MWh. The project will help reduce GHG emissions generated from the high-growth, coal-dominated power generation. The estimated annual GHG emission reductions are 113,189tCO2e.",Yunnan Province,"Datang Mangli Hydropower Development Company Limit
Maharashtra, India
+91-836-2244921",,Registered,51887,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Det Norske Veritas Climate Change Services AS (DNV),23/11/2012,"CREDITING PERIOD HAS EXPIRED, 13/01/2010 - 12/01/2020",,,,,,928
"Wind power project by TVS Energy Limited in Theni, Tamil Nadu","TVS Energy Limited (TVSEL) had installed a wind power project with an aggregate installed capacity of 9.35 MW (11 number of 0.85 MW of each). TVSEL has entered into a wheeling agreement with TNEB to wheel the generated power to the designated consumer i.e., Sundaram Clayton Limited (SCL) using the grid transmission infrastructure. In wind power generation, energy of wind is converted into mechanical energy and subsequently into electrical energy. The technology is a clean technology since there are no GHG emissions associated with the electricity generation.","District: Theni, State: Tamil Nadu","TVS Energy Limited
Tamilnadu, India
+91 44 26258212
rragavan@scl.co.in",,Late to verify,18863,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,Bureau Veritas Certification Holding SAS (Bureau Veritas),23/11/2012,"CREDITING PERIOD HAS EXPIRED, 08/03/2012 - 07/03/2022",,,,,,930
6.25 MW Wind Project in Tamil Nadu India,"The implemented renewable energy project activity by VSMPL, the project participant, is located in Sellakarichal, Varapatti and Bogampatti villages in Coimbatore District, Tamil Nadu State, India and sells electricity to the southern regional grid, i.e. the Tamil Nadu Electricity Board (TNEB). The project activity comprises of five (5 Nos) Wind Turbine Generators (WTGs), each with 1250 KW generation capacity.  Renewable sources of energy have a vital significance in the context of growing concern regarding sustainable energy supplies and protection of the environment from adverse effects of fossil fuel utilization. The wind-generated energy is supplied to the southern region grids. The power produced; being GHG neutral will not only displace equivalent amount of power generated that would have been generated from fossil fuel dominated southern grid of India.",Tamil Nadu,"Velatal Spinning Mills (Pvt) Limited (VSMPL)
Orissa, India
06767-276392
m_choudhary@hotmail.com",,Registered,11963,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,Tuev Nord Cert GmbH (Tuev Nord),06/04/2020,"2nd, 01/04/2016 - 31/03/2026",,,,,,931
"Cakrak 31.29 MW Hydroelectric Power Plant Project, Turkey","KALEN ENERJI A.S. (KALEN, hereafter) is in the phase of installing a runoff-river hydropower plant near Cakrak river in Giresun, Turkey. The objective of the project is to generate electricity and supply it into the public grid. Cakrak HEPP will be registered as a Voluntary EmissionReduction (VER) project and facilitate the project implementation with carbon revenue coming from the carbon credits sale. Due to its significant contribution in diminishing carbon emissions and protecting the climate as well as due to some significant additionality issues discussed further below, this project is anticipated to fulfil VCS and qualify for carbon finance. The project has not been rejected by another GHG program before. In addition, the project highly supports the sustainable economic development in the region.",Giresun,"Kalen Enerji Elektrik Uretim A.S.
Thailand",,Registered,60728,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Bureau Veritas Certification Holding SAS (Bureau Veritas),06/04/2020,"2nd, 01/06/2018 - 31/05/2028",,,,,,932
6.25 MW wind power project by VELATAL SPINNING MILLS PVT LTD,"Velatal Spinning Mills Private Limited has installed a wind power project with an aggregate installed capacity of 6.25 MW (5 numbers of 1.25 MW of each). The electricity generated in all WTGs have been selling to TNEB. The project displaces equivalent electricity in the TNEB grid which is a part of southern regional grid which is dominated by fossil fuel based power generating sources.  In wind power generation, energy of wind is converted into mechanical energy and subsequently into electrical energy. The technology is a clean technology since there are no GHG emissions associated with the electricity generation. The average net electricity generation from the project activity is 13200 MWh. The annual average GHG emission reduction through the project activity is 12476 tCO2e",Tamil Nadu; Coimbatore; Pollachi,"VELATAL SPINNING MILLS PRIVATE LIMITED
Montevideo, Uruguay",,Crediting Period Renewal and Verification Approval Request Denied,12476,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,Bureau Veritas Certification Holding SAS (Bureau Veritas),05/12/2012,"CREDITING PERIOD HAS EXPIRED, 01/04/2010 - 31/03/2020",,,,,,933
The Mai Ndombe REDD+ Project,"The Mai Ndombe REDD+ Project, located in western DRC, Africa, will protect 248,956 hectares of forest from industrial logging, unsustainable fuel wood extraction and slash and burn agriculture. Carbon validation will be undertaken by the Verified Carbon Standard (VCS) and major socio-economic co-benefits ensured by the Climate, Community and Biodiversity (CCB) standard. The project is developed and managed in a joint venture by forest carbon leaders ERA-Ecosystem Restoration Associates Inc. and Wildlife Works Carbon LLC. This groundbreaking project will be the first of its kind in the Congo Basin and utilizes the novel methodology developed by Wildlife Works, VM0009, 'Methodology for Avoided Deforestation' approved by the VCS in October, 2012. The project is estimated to deliver over 175MT CO2-e over 30 years.",Mai Ndombe,"Wildlife Works Carbon LLC
CA, United States
+1-415-332-8081
accounting@wildlifeworks.com","Wildlife Works Carbon LLC
CA, United States
+1-415-332-8081
accounting@wildlifeworks.com",Registered,5671613,5671613,"3,799,538",Agriculture Forestry and Other Land Use,REDD,VM0009,299640 Hectares,299640 Hectares,Det Norske Veritas Climate Change Services AS (DNV),06/04/2020,"1st, 14/03/2011 - 13/03/2041",Under Verification,Reduced Emissions from Deforestation and Degradation,Det Norske Veritas Climate Change Services AS (DNV),CCB Second Edition,23-Sep-2012 to 01-Oct-2012,934
Shiyazi Hydro power Project in Guizhou Province China,"Shiyazi 140MW Hydro Power Project (here after referred to as “the proposed project”) is a diversion type hydropower station which locates in Meilin canyon lying between Daping town and Baicun town, Wuchuan Country, Zunyi City, Guizhou Province, China. The proposed project total installedcapacity is 140MW (2×70MW), the design of quoted discharge is 145 m3/s, thus the power density the project will be 17.4 W/m2. The estimated annual operation time of the proposed project is 3416h and the average electricity generated is 478,200 MWh and the expected annual feed-in electricitythe grid is 467,300MWh. The electricity generated by the proposed project will meet the electricity demand of industrial and agricultural production and Zunyi City people’s life, assume the task adjust the peak in the local grid, and finally is delivered to China Southern Power Grid (CSPG).",Guizhou Province,"Guizhou Zhongshui Energy Co.Ltd.
TN, United States",,Registered,131143,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,TUV Rheinland (China) Ltd.,06/04/2020,"2nd, 01/11/2018 - 31/10/2025",,,,,,936
Biomass based steam generation plant by Crown Milk Specialties Private Limited (CMSPL),The purpose of the project activity is to utilize rice husk available in the region for Steam generation for captive consumption. The project undertaken generates steam by two boilers of capacity 4 TPH and 5 TPH using Biomass residues (Rice husk). Steams generated by the Boilers are used in the milk plant.,Punjab,Multiple Proponents,,Late to verify,17194,,,Energy industries (renewable/non-renewable sources),,AMS-I.C.,,,"Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)",13/12/2012,"2nd, 07/08/2019 - 06/08/2029",,,,,,938
Thermal Energy Substitution using Landfill Gas at Saint-Étienne-des-Grès,Capturing carbon credit for sale (credit carbon),QC,"Les Serres du St-Laurent Inc
WA, United States
(206) 684-0722
SCL_APInvoice@seattle.gov",,Registered,7046,,,Energy industries (renewable/non-renewable sources),,AMS-I.C.,,,"First Environment, Inc. (First Environment)",06/04/2020,"CREDITING PERIOD HAS EXPIRED, 27/09/2010 - 26/09/2020",,,,,,939
Rio Negro Ceramic  Fuel Switching Project,"Rio Negro Ceramic is a red ceramic industry located in Cacau Pirera in the state of Amazonas, in the north region of Brazil. The ceramic industry produces bricks and tiles, mainly for the regional market in Manaus city.  The fuel utilized in the baseline scenario to cook the ceramic devices was native wood from the Amazon rainforest, which is a pioneering practice in the region. This type of wood is considered a non-renewable biomass, once it does not originate from areas with reforestation activities or sustainable management activities.",Amazonas,Multiple Proponents,,Registered,11256,,,Energy industries (renewable/non-renewable sources),,AMS-I.E.,,,Earthood Services Private Limited,06/04/2020,"2nd, 01/03/2019 - 28/02/2029",,,,,,943
Alto Mayo Conservation Initiative,"The Alto Mayo Protected Forest (AMPF) covers approximately 182,000 hectares of land in the Peruvian Amazon of extremely high value for biodiversity conservation and watershed protection. This area forms part of the Abiseo-Condor-Kutukú Conservation Corridor, one of the most threatened ecosystems in the world which houses an incredible number of endemic plants and animals of global importance and whose forests gives rise to several major rivers which provide clean and abundant water supplies and support several economic activities of the local population living in the Alto Mayo basin. The threats to the area have increased in the last decade with the development of regional infrastructure projects and the rising price of coffee -the main crop grown in this area- leading to increasing deforestation and the subsequent loss of ecosystem services that this NPA provides. This scenario will continue unless new mechanisms are designed to add value to the standing forest so that it can compete economically with other land uses. In response, Conservation International and its allies in the region designed the Alto Mayo Conservation Initiative (AMCI), whose main goal is to promote the sustainable management of the AMPF and its ecosystem services for the benefit of the local populations and the global climate. With the financial support of carbon financing, these actions are facilitating the conservation of large expanses of forest with associated climate change mitigation benefits, while also creating opportunities for the sustainable development of local communities.",San Martin,Conservation International Foundation,Conservation International Foundation,Registered,515268,515268,"840,589",Agriculture Forestry and Other Land Use,REDD,VM0015,182000 Hectares,182000 Hectares,SCS Global Services,06/04/2020,"1st, 15/06/2008 - 14/06/2028",Verification approved,Reduced Emissions from Deforestation and Degradation,SCS Global Services,CCB Second Edition,22-Oct-2018 to 26-Oct-2018,944
Chongqing Youyang County Youchou Hydropower Project,"Project was got CDM registration on UNFCCC on 21 Dec 10.Project  locates in Youchou Township, Youyang County of Chongqing Municipality.Two water turbines with unit capacity of 60MW will be installed by the proposed project, providing total installed capacity of 120MW. Annual electricity delivered to CCPG by the proposed project is expected to be 390,000 MWh.",Chongqing Municipality,Multiple Proponents,,Registered,334000,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,"China Environmental United Certification Center Co., Ltd. (CEC)",06/04/2020,"2nd, 01/01/2018 - 31/12/2024",,,,,,945
Guodian Linghai Qingsong Wind Farm Project,"The purpose of Guodian Linghai Qingsong Wind Farm Project (hereinafter referred to as the proposed project) is to build and operate a 48 MW grid connected wind farm in Qingsong Village, Dayou Township, Linghai City, Liaoning Province, P. R. China. Upon completion, the electricity generated from the proposed project will be supplied to Liaoning Power Grid, an integral part of the Northeast China Power Grid (NECPG).",Liaoning Province,"Guodian Linghai Wind Power Co., Ltd
WA, United States
entro@ewp.co.kr",,Registered,115069,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,SGS United Kingdom Ltd. (SGS),06/04/2020,"2nd, 01/11/2017 - 31/10/2024",,,,,,949
Liaoning Linghai Nanxiaoliu Wind Farm Project,"The Liaoning Linghai Nanxiaoliu Wind Farm Project  is to utilize wind resources for electricity generation through the construction of a wind farm with a total capacity of 49.5MW to deliver the electricity generated from the project to Liaoning Provincial Power Grid, an integral part of the Northeast China Power Grid. By replacing the electricity generated from fossil fuel-fired power plants dominated Northeast China Power Grid, the proposed project activity will achieve obvious greenhouse gas (GHG) emission reductions by avoiding CO2 emissions.",Liaoning,"Guodian Linghai Wind Power Co., Ltd
WA, United States
entro@ewp.co.kr",,Registered,122764,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,SGS United Kingdom Ltd. (SGS),06/04/2020,"2nd, 01/10/2017 - 30/09/2024",,,,,,950
Liaoning Linghai Shengli Wind Farm Project,"Liaoning Linghai Shengli Wind Farm Project is to utilize wind resources for electricity generation through the construction of a wind farm with a total capacity of 49.5MW to deliver the electricity generated from the project to Liaoning Provincial Power Grid, an integral part of the Northeast China Power Grid. By replacing the electricity generated from fossil fuel-fired power plants dominated Northeast China Power Grid, the proposed project activity will achieve obvious greenhouse gas (GHG) emission reductions by avoiding CO2 emissions.",Liaoning Province,"Guodian Linghai Wind Power Co., Ltd
WA, United States
entro@ewp.co.kr",,Registered,116862,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,SGS United Kingdom Ltd. (SGS),06/04/2020,"2nd, 01/10/2017 - 30/09/2024",,,,,,951
Liaoning Xingcheng Liutaizi Wind Farm Project,"The proposed project is to utilize wind resources for electricity generation in Longquansi Village, Liutaizi County, Xingcheng City, Liaoning Province, P. R. China. The proposed project is a grid-connected renewable energy to electricity project. The proposed project will achieve obvious greenhouse gas (GHG) emission reductions through the displacement of mainly fossil-fuel dominated grid connected power generation in Northeast China Power Grid.","Xingcheng City, Liaoning Province","Guodian Xingcheng Wind Power Co., Ltd
Gyeonggi-do, South Korea
+82-31-260-4837
www.kemco.or.kr",,Registered,117731,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Tuev Nord Cert GmbH (Tuev Nord),06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/07/2017 - 30/06/2024",,,,,,952
The Paraguay Forest Conservation Project - Reduction of GHG emissions from deforestation and forest degradation in the Chaco-Pantanal ecosystem,"The project consists of the purchase and protection of 4,745 ha of forested land with High Conservation Values in the eastern Chaco-Pantanal transition zone in Alto Paraguay, threatened in the absence of the project with transformation into cattle ranching. The project goal is to conserve the natural and cultural values of the area, including its sequestered carbon. Climate benefits are achieved by preventing deforestation.Ownership and management of the area is shared between a Paraguayan biodiversity conservation NGO (Guyra Paraguay) and the Yshir indigenous community (represented by the Unión de Comunidades de la Nación Yshir or UCINY), with legal safeguards to ensure permanence of conservation management regime. The project is also submitted for CCBA validation.This is an initial project instance of a grouped project. Other instances are envisaged, replicating the same pattern.PUBLIC COMMENT PERIOD:This project was open for public comment from 01 November - 01 December 2019. 1)CCB_MONIT_REP_SUM_ESP_DRAFT_953_25FEB2013_24FEB20182)CCB_MONIT_REP_ENG_DRAFT_953_25FEB2013_24FEB2018",Districts of Bahia Negra and Fuerte Olimpo,"Swire Pacific Offshore Operations (Pte) Ltd. (SPO)
Singapore, Singapore","Swire Pacific Offshore Operations (Pte) Ltd. (SPO)
Singapore, Singapore",Registered,12784,12784,"12,417",Agriculture Forestry and Other Land Use,REDD,VM0007,4745 Hectares,4745 Hectares,"Rainforest Alliance, Inc. (Rainforest Alliance)",06/04/2020,"1st, 25/02/2011 - 24/02/2031",Verification approved,Reduced Emissions from Deforestation and Degradation,"Rainforest Alliance, Inc. (Rainforest Alliance)",CCB Second Edition,01-Oct-2015 to 01-Oct-2015,953
Kepezkaya Hydroelectric Power Plant Project,"Kepezkaya Hydroelectric Power Plant Project, is a run-off river type project that is constructed over the Göksu River in Karaman province of Turkey.  The project is estimated to produce an average of 107,587 MWh/year of electricity over the first crediting period of the project. Thus the project is expected to generate 61,443 tCO2/year of Social Carbon Labelled VCUs. The project supports the surrounding communities by providing irrigation water from the side of the head pond, and by assisting authorities in the design of larger irrigation projects.",Eastern Mediterranean Region,"ENTEK ELEKTRIK URETIMI ANONIM SIRKETI
N/A, Turkey
+905495622117
serkan.dundar@entekelektrik.com.tr",,Registered,61443,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,TUV Rheinland (China) Ltd.,06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/10/2010 - 30/09/2020",,,,,,954
Bundled Wind Energy Project in Indian States:- EnKing International 2006.,"The project activity is set up to produce clean power from the wind electric converters. The objectiv is development, design, engineering, procurement, construction, Operation & maintenance of WTG in the Indian States of Maharashtra & Madhya Pradesh. The generated electricity will be sold out to the respective Electricity board through the PPA. The project will lead to reduced greenhouse gas emission because it displaces electricity from fossil fuel based electricity generation plants.","Dhule, Dewas, Nandurburm and Ratlam Districts",Multiple Proponents,,Late to verify,14345,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,"Perry Johnson Registrars Carbon Emissions Services, Inc. (PJRCES)",11/01/2013,"CREDITING PERIOD HAS EXPIRED, 28/03/2006 - 27/03/2016",,,,,,955
"Wind energy project by Hindustan Spinners in Tamilnadu, India.","The project activity involves the implementation of 8.5 MW capacity wind power project consisting of 13 Wind Turbine Generators (WTGs) at villages in Kanyakumari, Tirunelveli and Coimbatore districts in Tamil Nadu. The power generated by the 4 X 500 kW WTGs and 1 X 750 kW WTGs is exported to the grid where as the power from 7 X 750 KW WTGs, 1 X 500 KW WTGs is used for captive purposes. The power generated from wind energy is considered to be carbon neutral and hence does not contribute to any additional green house gas emissions. This would replace equivalent quantum of power at the Tamil Nadu Electricity Board (TNEB) grid.",Tamil Nadu,Multiple Proponents,,Registered,18311,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,Tuev Nord Cert GmbH (Tuev Nord),06/04/2020,"2nd, 28/03/2016 - 27/03/2026",,,,,,957
BIOCORREDOR MARTIN SAGRADO REDD+ PROJECT,"The project aims to avoid for 80 years deforestation and degradation of forest in an area of 295 654 hectares of primary forest, which is under stress of deforestation and degradation by various drivers and agents, detailed hereafter. The project area is a high conservation value area with many endemic species and several threatened species (flora and fauna) and also boasts vital resources for downstream and surrounding communities. In particular it regulates the water resources in the Huayabamba river basin and the availability of water for downstream communities and cities.",San Martin province,"Pur Projet
Singapore, Singapore","Pur Projet
Singapore, Singapore",Registered,219722,219722,"53,536",Agriculture Forestry and Other Land Use,REDD,VM0015,303699 Hectares,303699 Hectares,SCS Global Services,06/04/2020,"1st, 01/01/2010 - 31/12/2049",Verification approved,Reduced Emissions from Deforestation and Degradation,SCS Global Services,CCB Second Edition,27-Feb-2012 to 02-Mar-2012,958
‘Guanaré’ Forest Plantations on degraded grasslands under extensive grazing,"The project will comprise a total of 21,298 ha of land previously under extensive grazing by beef cattle, on which forest plantations for obtaining high-value, long-lived timber products and for sequestering large amounts of carbon dioxide from the atmosphere will be established.",Cerro Chato/ Valentines and Regis/ Garao Regions,"Guanaré SA
New Delhi, United States","Guanaré SA
New Delhi, United States",Registered,127416,127416,"774,401",Agriculture Forestry and Other Land Use,ARR,AR-ACM0001,21298 Hectares,21298 Hectares,"Rainforest Alliance, Inc. (Rainforest Alliance)",06/04/2020,"1st, 24/04/2006 - 23/04/2066",Verification approved,"Afforestation, Reforestation and Revegetation",,CCB Third Edition,,959
Lumin/Eucapine Uruguay Forest Plantations on degraded grasslands under extensive grazing,"The project will comprise a total of 18,988 ha of land previously under extensive grazing by beef cattle, on which forest plantations for obtaining high-value, long-lived timber products and for sequestering large amounts of carbon dioxide from the atmosphere will be established.

In September 2022, this project changed names from Weyerhaeuser Uruguay’ Forest Plantations on degraded grasslands under extensive grazing to Lumin/Eucapine Uruguay Forest Plantations on degraded grasslands under extensive grazing.",Cerro Largo and Treinta y Tres,"EUCAPINE S.R.L
Montevideo, Uruguay
+59826234470
alvaro.molinari@lumin.com; Isabel.LozaBalbuena@lumin.com","EUCAPINE S.R.L
Montevideo, Uruguay
+59826234470
alvaro.molinari@lumin.com; Isabel.LozaBalbuena@lumin.com",Registered,56019,56019,"771,485",Agriculture Forestry and Other Land Use,ARR,AR-ACM0001,18988 Hectares,18988 Hectares,SCS Global Services,04/06/2020,"1st, 22/02/2006 - 21/02/2066",Verification approved,"Afforestation, Reforestation and Revegetation",SCS Global Services,CCB Third Edition,01-May-2021 to 01-Jun-2021,960
‘El Arriero ’ Afforestation on degraded grasslands under extensive grazing project,"The project comprises a total of 5,377 ha of land previously under extensive grazing by beef cattle, on which Afforestation for obtaining high-value, long-lived timber products and for sequestering large amounts of carbon dioxide from the atmosphere will be established.",,"Forestal El Arriero SRL
Montevideo, Uruguay
+598 99829856
alberto.voulminot@gfplp.com",,Registered,18271,,"193,841",Agriculture Forestry and Other Land Use,ARR,AR-ACM0001,5377 Hectares,,SCS Global Services,06/04/2020,"1st, 30/04/2009 - 29/04/2109",,,,,,961
Forteko afforestation on degraded grasslands under extensive grazing,"The project comprises a total of 16,928 ha of land previously under extensive grazing by beef cattle, on which forest plantations for obtaining high-value, long-lived timber products and for sequestering large amounts of carbon dioxide from the atmosphere will be established.",Montevideo,Multiple Proponents,Multiple Proponents,Registered,55965,55965,"17,949",Agriculture Forestry and Other Land Use,ARR,AR-ACM0001,16181 Hectares,16181 Hectares,SCS Global Services,06/04/2020,"1st, 31/07/2007 - 30/07/2107",Verification approved,"Afforestation, Reforestation and Revegetation",AENOR International S.A.U.,CCB Third Edition,,962
The Purus Project,"The Purus Project is a VCS and CCBS validated REDD+ project in the State of Acre, Brazil which aims to protect up to 34,702 hectares of tropical rainforest. Furthermore, the Purus Project will simultaneously preserve endangered species and a wide range of ecosystem services, provide direct benefits to local communities, and mitigate the release of nearly 900,000 metric tonnes of carbon dioxide emissions over the first 10 years of the Project.",Acre,Multiple Proponents,Multiple Proponents,Registered,89868,89868,"115,623",Agriculture Forestry and Other Land Use,REDD,VM0007,34702 Hectares,34702 Hectares,SCS Global Services,04/06/2020,"1st, 23/05/2011 - 22/05/2041",Verification approved,Reduced Emissions from Deforestation and Degradation,SCS Global Services,CCB Second Edition,19-Jul-2018 to 23-Jul-2018,963
"Uzundere I 63.0 MW Hydroelectric Power Plant Project, Turkey","The project is not a grouped project. The crediting period of the project begins with the commissioning of the plant.  The exact commencement date for the plant is the day of first documented supply to the grid with entire capacity.  The expected annual electricity output and the estimated emission reduction along the first ten year of crediting are given below.  Uzundere I HEPP is expected to generate 156,205 MWh electricity output until 2020.  The starting date of the project activity is May 27th, 2010, when one of the two vertical shaft Pelton turbines in the plant commences electricity generation. The starting date of the project activity for the other turbine has been November 7th, 2010.  The carbon crediting period and therefore the monitoring starts when the plant commences electricity generation.  The crediting life is a maximum of ten years which may be renewed at most two times.",Rize,"Karadeniz Hes Elektrik Anonim Şirketi
Yunnan, China
0871-62760070
841064564@qq.com",,Registered,79380,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Re Carbon Ltd.,23/01/2013,"CREDITING PERIOD HAS EXPIRED, 27/05/2010 - 26/05/2020",,,,,,964
ITAA afforestation on degraded grasslands under extensive grazing,"The project comprises a total of 1,544 ha of land previously under extensive grazing by beef cattle, on which afforestation for obtaining high-value, long-lived timber products and for sequestering large amounts of carbon dioxide from the atmosphere will be established.",Lavalleja,"Intercontinental Timber Asociacion Agraria de Responsabilidad Limitada
Kunming, Yunnan Province, China",,Verification approval requested,5451,,,Agriculture Forestry and Other Land Use,REDD,AR-ACM0001,229 Hectares,,SCS Global Services,06/04/2020,"1st, 19/12/2007 - 18/12/2107",,,,,,965
Tecamac EcoMethane Landfill Gas to Energy Project,"Tecamac – EcoMethane Landfill Gas to Energy Project is registered as CDM project by the UNFCCC on 21/03/2009 under reference number 2271. The crediting period began on May 11, 2008. It will cease on March 20, 2009, when it became registered with the UNFCCC as a CDM Project, for a total crediting period of 10 months and 9 days. Tecamac site comprises a total of 207,406.258 m2 and is located on the road of “Las Minas”, in the property denominated “Los Gallineros”, located in the community of Santo Tomas Chiconautla, Municipality of Tecamac, State of Mexico, Mexico. The geographical coordinates of the landfill are 19°39’20.6’’ northern latitude and 99°00’11.7’’ western longitude.",Municipality of Tecamac,Biogas Technology Ltd,,Late to verify,20000,,,Energy industries (renewable/non-renewable sources),,ACM0001,,,SGS United Kingdom Ltd. (SGS),28/01/2013,"CREDITING PERIOD HAS EXPIRED, 01/01/2009 - 31/12/2018",,,,,,966
Bantargebang Landfill Gas Management & Power Generation,The Project captures GHG from Jakarta City Landfill and converts them into electricity for transmission to Java Island's national grid. This is the first landfill project in Indonesia to have been able to generate electricity for stable grid generation. The Project is Registered as a CDM Project with Registration 6486,West Java Province,PT Navigat Organic Energy Indonesia,,Registered,708300,,,Energy industries (renewable/non-renewable sources),,ACM0001,,,Germanischer Lloyd Certification GmbH (GLC),06/04/2020,"2nd, 01/08/2019 - 31/07/2026",,,,,,967
