inputs.question,inputs.answer,inputs.context,inputs.ground_truth,self_harm,violence_reason,sexual_reason,hate_unfairness,gpt_groundedness_reason,sexual,hate_unfairness_reason,violence,self_harm_reason,gpt_coherence,gpt_fluency,gpt_groundedness,gpt_relevance,gpt_similarity,f1_score,index,status
"What is the project proponents, includind organization name, phone number and email address, state/city and country of the entity responsible for managing this carbon project?","[{'organization_name': 'Lavardin S.R.L.', 'email': 'pedro.aramendia@fas.com.uy', 'country': 'Uruguay'}]","[['', 'Organization name', '', '', 'Lavardin S.R.L.', ''], ['', 'Contact person', '', '', 'Pedro Aramendia', ''], ['', 'Title', '', '', 'Representative', ''], ['', 'Address', '', '', 'Cesar Cortinas 2037', ''], ['', 'Telephone', '', '', '+598 26038096', ''], ['', 'Email', '', '', 'pedro.aramendia@fas.com.uy', '']]
1.5 Project Proponent
.
5

Project Description: VCS Version 4.2
Lavardin S.R.L. is the firm that owns the forestry assets and the carbon credit component that may be
generated from the project.","[{'organization_name': 'Pike Carbosur S.A.', 'email': 'alvaro.perez@pikecarbosur.com.uy'}]","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","0.31","208","-"
"What is the project province, country, latitude, and longitude of this project?","{'project_country': 'Uruguay'}","1.9 Project Location
The map in Fig.1 shows the exact location of the project, and the cadastral units owned by ‘El Arriero’,
where the project is located.
Figure 1. Map of Uruguay showing the location of the areas included in the proposed project activity
For the purpose of defining the strata, the project area has been divided into 4 regions, which are shown
in Fig 2. The areas are homogeneous in terms of soil types, climate, land use history and socio-economic
conditions. The division into four regions is entirely based on geographic location.
v3.0 10

PROJECT DESCRIPTION : VCS Version 3
Figure 2. Map indicating the four project regions.
v3.0 11

PROJECT DESCRIPTION : VCS Version 3
Figure 3. Location of properties belonging to ‘El Arriero’, which make up the region CL.
v3.0 12

PROJECT DESCRIPTION : VCS Version 3
Figure 4. Location of properties belonging to ‘El Arriero ’, which make up the region CL-TT 1
v3.0 13

PROJECT DESCRIPTION : VCS Version 3
Figure 5. Location of properties belonging to ‘El Arriero’, which make up the region CL-TT 2
v3.0 14

PROJECT DESCRIPTION : VCS Version 3
Figure 6. Location of properties belonging to ‘El Arriero’, which make up the region TT
v3.0 15

[['REGION', 'PROPERTY\nNAME', 'id\nCODE', 'CADASTRAL UNIT\nN°', 'AREA\n(ha)', '', 'REGION', 'PROPERTY\nNAME', 'id\nCODE', 'CADASTRAL UNIT N°', 'AREA\n(ha)'], ['CL', 'Altiro', '0162', '16102\n16104\n16105', '87', None, 'CL-TT 2', 'Carbura Lake', '0068', '2960\n6645', '93'], [None, 'El Betty', '0069', '11553\n12097\n12099', '52', None, None, None, None, None, None], [None, None, None, None, None, None, None, 'Dionisio Diaz', '0055', '3150', '40'], [None, None, None, None, None, None, None, 'El Enloquecido', '0170', '6201\n16126\n16127\n16128\n16129', '99'], [None, 'El Germano', '0060', '2105\n3578\n3688\n10303\n11509\n11884', '471', None, None, None, None, None, None], [None, None, None, None, None, None, None, 'La Guadalupe', '0165', '2306\n4157\n8472', '129'], [None, 'El Pedregoso', '0187', '2282\n6752', '330', None, None, None, None, None, None], [None, None, None, None, None, None, None, 'Las Viboras', '0062', '2189\n2191\n2220', '259'], [None, 'El SarandÝ', '0184', '15960', '128', None, None, None, None, None, None], [None, 'El Terco', '0178', '8639\n9258', '34', None, None, None, None, None, None], [None, None, None, None, None, None, None, 'Picoroco', '0056', '1219\n2373\n3119\n9432\n5951\n9431', '172'], [None, 'Los Martines', '0173', '1804\n10263', '188', None, None, None, None, None, None], [None, 'Tres Panes', '0067', '6548', '84', None, None, None, None, None, None], ['CL-TT 1', 'CAT', '0065', '740\n8589\n8592', '126', None, None, None, None, None, None], [None, None, None, None, None, None, None, 'Rita Rita', '0172', '5659', '23'], [None, 'Depardieu', '0175', '6125', '103', None, None, None, None, None, None], [None, 'La Calera', '0164', '16153', '219', None, None, None, None, None, None]]
PROJECT DESCRIPTION : VCS Version 3
Table 8 Indicators for unique identification of all project properties
v3.0 16

[['REGION', 'PROPERTY\nNAME', 'id\nCODE', 'CADASTRAL UNIT\nN°\n5362\n5364', 'AREA\n(ha)', 'PROPERTY id AREA\nREGION NAME CODE CADASTRAL UNIT N° (ha)\n10287\nEeepetacula 0177 2200 200\n2492\nPisoteado 0061\nTT 2693 152\nReloco 0182 8951 64\nVamoarriba 0191 7551 95', 'REGION', 'PROPERTY\nNAME', 'id\nCODE', 'CADASTRAL UNIT N°\n10287', 'AREA\n(ha)'], ['', '', '', None, None, None, '', '', '', None, None], [None, None, None, None, None, None, 'TT', 'Eeepetacula', '0177', '2200', '200'], [None, 'Obdulio', '0053', '1234', '129', None, None, 'Pisoteado', '0061', '2492\n2693', '152'], [None, 'Pochotito', '0052', '3195\n8593\n8596\n15887', '120', None, None, None, None, None, None], [None, None, None, None, None, None, None, 'Reloco', '0182', '8951', '64'], [None, None, None, None, None, None, None, 'Vamoarriba', '0191', '7551', '95'], [None, None, None, None, None, None, '', None, None, None, ''], [None, 'Sandobay', '0195', '632\n10794\n10795\n10796', '378', None, None, None, None, None, None], [None, 'San Fermin', '0163', '8544\n8545\n8546\n8547', '1132', None, None, None, None, None, None]]
PROJECT DESCRIPTION : VCS Version 3
v3.0 17

PROJECT DESCRIPTION : VCS Version 3","{'project_country': 'Uruguay'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","1","209","-"
"What are the start and end dates of the crediting period for this project?","{'crediting_period_start': '2022-01-01', 'crediting_period_end': '2051-12-31'}","1.9 Project Crediting Period
The project crediting period will be from 01-January -2022 to 31-December-2051.
Goldbeck Forest Carbon Project – V1.1 5

Joint Project Description & Monitoring Report: VCS Version 4.2","{'crediting_period_start': '2022-01-01', 'crediting_period_end': '2051-12-31'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","5","1","1","1","210","-"
"What is the project proponents, includind organization name, phone number and email address, state/city and country of the entity responsible for managing this carbon project?","[{'organization_name': 'REI Agro Limited', 'email': 'gopalkgupta@reiagro.com', 'country': 'India'}]","[['', 'Organization:', '', 'REI Agro Limited'], ['', 'Street/P.O.Box:', '', '58 A/1, Sainik Farm,'], ['', 'Building:', '', ''], ['', 'City:', '', 'New Delhi'], ['', 'State/Region:', '', 'Delhi'], ['', 'Postfix/ZIP:', '', '110 062'], ['', 'Country:', '', 'India'], ['', 'Telephone:', '', '011 – 32905030, 32906030'], ['', 'FAX:', '', '011-29552403'], ['', 'E-Mail:', '', 'gopalkgupta@reiagro.com'], ['', 'URL:', '', 'www.reiagro.com'], ['', 'Represented by:', '', 'Mr. Gopal K. Gupta'], ['', 'Title:', '', 'Manager – Finance & Accounts'], ['', 'Salutation:', '', 'Mr.'], ['', 'Last Name:', '', 'Gupta'], ['', 'Middle Name:', '', 'Kumar'], ['', 'First Name:', '', 'Gopal'], ['', 'Department:', '', 'Finance & Accounts'], ['', 'Mobile:', '', '098736 46829'], ['', 'Direct FAX:', '', '011-29552403']]
1.15 Project proponents roles and responsibilities, including contact information of the
project proponent, other project participants:
REI Agro Limited along with Octal Suppliers Pvt Ltd are the project proponent for the said
project activity for VCS development and would be responsible for all the communications and
actions in relation to the project being validated in accordance with the VCS standard. Octal
Suppliers has duly authorized REI Agro to take up the said project activity for VCS
development. Further, all responsibilities with reference to monitoring, data achieving,
adherence to O&M contract, calibration of meters, sale and transaction of VER, and
distribution of VER revenue also lies with REI Agro Limited. REI Agro shall record
the data and shall make the data available to the DOE during validation and verification
The O&M structure is described in section 3.2. The contact information of the project
proponent is provided in the table below:
9

[['', 'Direct tel:', '', '011-3290 5030'], ['', 'Personal E-Mail:', '', 'gopalkgupta@reiagro.com']]
[['', 'Organization:', '', 'Octal Suppliers Pvt Ltd..'], ['', 'Street/P.O.Box:', '', '58 A/1, Sainik Farm,'], ['', 'Building:', '', ''], ['', 'City:', '', 'New Delhi'], ['', 'State/Region:', '', 'Delhi'], ['', 'Postfix/ZIP:', '', '110 062'], ['', 'Country:', '', 'India'], ['', 'Telephone:', '', '011 – 32905030, 32906030'], ['', 'FAX:', '', '011-29552403'], ['', 'E-Mail:', '', 'maheshsureka@live.com'], ['', 'URL:', '', ''], ['', 'Represented by:', '', 'Mr. Mahesh Sureka'], ['', 'Title:', '', 'Director'], ['', 'Salutation:', '', 'Mr.'], ['', 'Last Name:', '', 'Sureka'], ['', 'Middle Name:', '', 'Kumar'], ['', 'First Name:', '', 'Mahesh'], ['', 'Department:', '', ''], ['', 'Mobile:', '', '+91 9873716829'], ['', 'Direct FAX:', '', '+91 11-29552403'], ['', 'Direct tel:', '', '+91 11-3290 5030'], ['', 'Personal E-Mail:', '', 'maheshsureka@live.com']]
VCS Project Description","[{'organization_name': 'REI Agro Limited', 'telephone': '32905030', 'state/city': 'Delhi', 'country': 'India'}, {'organization_name': 'Octal Suppliers Pvt Ltd..', 'telephone': '32905030', 'state/city': 'Delhi', 'country': 'India'}]","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","0.41","211","-"
"What is the project proponents, includind organization name, phone number and email address, state/city and country of the entity responsible for managing this carbon project?","[{'organization_name': 'Genneia S.A.'}]","[['', 'Organization name', '', 'Genneia S.A.'], ['', 'Contact person', '', 'Edwin King'], ['', 'Title', '', 'Jefe Comercial y Despacho'], ['Address', 'Address', None, 'Complejo Olivos Building II Nicolás Repetto 3676 3° piso (1636) Olivos,\nBs As - Argentina'], ['', 'Telephone', '', '+54 11 6090-3200, interno 294'], ['', 'Email', '', 'Edwin.King@genneia.com.ar']]
1.3 Project Proponent","[{'organization_name': 'GENNEIA S.A.', 'country': 'Argentina'}]","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","1","1","1","1","0.75","212","-"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","{'project_sector': 'Renewable Energy'}","A.4.2. Type and category(ies) and technology/measure of the small-scale project activity:
Since the capacity of the wind farm project is 9 MW, which is less than the maximum qualifying capacity
of 15 MW, the project falls under the UNFCCC small-scale CDM project activity categories under Type-I
with project activity being renewable electricity generation for a grid.
Sectoral Scope: 1 – Energy Industries (renewable-/non-renewable sources)
Type: I -Renewable Energy Projects
Category: I.D “Grid connected renewable electricity generation”
As per paragraph 1 under Category I.D of Appendix B of the UNFCCC-defined simplified modalities
and procedures (M&P) for small-scale CDM project activities (Version 10: 23rd December 2006)
Type I.D “comprises renewables, such as photovoltaics, hydro, tidal/wave, wind, geothermal, and
biomass, that supply electricity to an electricity distribution system that is or would have been supplied by
at least one fossil fuel or non-renewable biomass fired generating unit”. The project is a grid-connected
wind based power plant and qualifies as a Category I. D project activity.
The technology consists of conversion of the energy available in the wind flow to mechanical energy
using a wind turbine. By connecting the turbine to a generator, the mechanical energy is converted into
electricity energy. Therefore, in this process, there are no greenhouse gas emissions or burning of any
fossil fuels. Thus electricity is generated through sustainable means without causing any negative effect
on the environment and hence the technology is environmentally safe and sound.
The project employs the use of wind energy for the purpose of electricity generation. Since, the
technology employed by the project proponent does not result in GHG emissions; the project does not
cause any negative effects on the environment. Hence, the technology used for the project activities do
not pose any threat to the environment when compared to the fossil fuel-fired power plants.
WTG (S82 , 1.5 MW, 50 Hz) TECHNICAL DATA
Rated capacity : 1500 kW
Rotor diameter : 82 m
Hub height : 78.5 m
Rotor with Pitch Control
Type : Upwind rotor with active pitch control
Number of blades : 3
Swept area: 5281 m²
Blade material : The rotor blades are made epoxy bonded fibre glass
Rotor speed : 16.30 rpm
Tip speed : 70 m/s
Generator :
Type: Single fed Induction Generator with slip‐rings, variable rotor resistance with
SUZLON‐FLEXI‐SLIP control system.
7

PROJECT DESIGN DOCUMENT FORM (CDM-SSC-PDD) - Version 03
CDM – Executive Board
Hub : Cast spherical hub
Bearings : Spherical roller bearing
Tower : Steel Tubular, 76 m height
Technology Transfer
No technology transfer from other countries is involved in the project.
Plant Load Factor
The expected plant load factor for the project activity as determined by an independent third party
assessment is 19.85%. The plant load factor is applied in accordance with paragraph 3(b) of the
“Guidelines for the reporting and validation of plant load factors” for ex-ante estimation of emission
reductions. However, for the investment analysis, the PLF available the time of investment decision
(based on offer Letter from Suzlon dated 04/12/2010) is applied as explained in section B.5","{'project_sector': 'Renewable Energy'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","3","5","1","213","-"
"What are the start and end dates of the crediting period for this project?","No relevant information found in context","C.2.1.2. Length of the first crediting period:
>>
Not Applicable

C.2.2.1. Starting date:
>>
05/10/2012 or from the date of complete submission of the project activity for registration to Executive
Board whichever is later. Hence crediting period will start from the date of registration with UNFCCC. It
is hereby confirms that the crediting period will not commence prior to the date of registration.
C.2.2.2. Length:
>>
10 years and 0 months","{'crediting_period_start': '2012-03-30', 'crediting_period_end': '2022-03-29'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","0","214","-"
"What is the project province, country, latitude, and longitude of this project?","{'project_state_province': 'Choco', 'project_country': 'Colombia'}","2.1.1 Summary Description of the Project (G1.2)
WeAct Pty Ltd (WeAct) seeks to combine elements of conventional integrated conservation and
development projects (ICDP) with a “payments for ecosystem services” (PES) approach when
designing and implementing the REDD project. REDD has at times been conceived narrowly as
simply a system of conditional performance-based payments (PES), (Sills et al. (2009), The
evolving landscape of REDD projects). Projects developed by WeAct are similarly premised on
performance-based payments, but we have gone further in developing an approach to project
implementation that recognizes the part that can be played by tried and tested interventions. These
include participatory land use mapping, boundary determination, development of land use plans,
clarification of tenure, income generating activities, employment and community development.
The project is estimated to generate approximately 1.98 million VCUs over 30 years. The project
area is located in the municipality of Acandí on the northwestern coast of the Gulf of Urabá in the
Colombian department of Choco. Belonging to the biologically diverse Chocó-Darién bioregion,
forests in the project area are important nationally and internationally for the ecosystem and
biodiversity services they provide. Forests in the project area, however, have experienced a
continued reduction in biomass due largely to illegal logging and to the establishment of crops, use
of firewood, pastures, and settlements. These forests have historically been an important source
of income for local families, who periodically harvest timber when the economic needs arise, or to
generate income generation sources.
Changes to Colombian Constitutional Law in 1991 resulted in the recognition of the ancestral
presence and possession of lands by communities of African descent holding ethnic traditions and
cultural identity. Subsequent legislation, through Law 70 of 1991, as detailed in Section 1.3.5,
granted land title and administrative autonomy to these communities. Law 70 also gave these
communities the rights of ownership of forests, and the rights of use of other natural resources
present in their territories, though subject to the general legal dispositions of Colombia.
Agriculture, cattle ranching, and clearing for tourist infrastructure and related services are the main
deforestation drivers, additional to fuelwood and illegal timber extraction. Continual timber
extraction eases the transition of forests to agriculture and pasture land use. The project aims to
alleviate these pressures on the forests through the support of governance capacity (including
individual property titling, land-use planning and conservation zone demarcation), the generation
of alternative economic activities and income sources, and through capacity building in
administration and management. These project activities, beyond protecting local forests and
biodiversity, contribute to social and economic development in one of the poorest areas of
Colombia. The effectiveness of these activities is partially dependent on their long-term economic
success and wide-spread adoption.
Since the project’s inception, local communities have been actively participating in the project’s
formulation and implementation. The early involvement of participating communities has created
CCB v3.0, VCS v3.3 155

CCB & VCS PROJECT DESCRIPTION:
CCB Version 3, VCS Version 3
awareness among community members and readiness for project implementation. Community
support has culminated in the project’s endorsement by the legal representatives of communities
and the communities’ General Assembly. These endorsements demonstrate the communities’
long-term commitment to emissions reductions from avoided logging and deforestation.
Location of the project:
The project is located in the municipality of Acandí on the northwestern coast of the Gulf of Urabá
in the Colombian department of Choco. This project area covers 10,433 hectares of forests and is
located 162 km from Monteria, the capital of Department of Córdoba, Colombia.
The project objectives are threefold: (i) to mitigate climate change by reducing deforestation and
recuperation of already degraded forest lands; (ii) contribute to biodiversity conservation including
High Conservation Values, and, (iii) foster sustainable development of local communities. Following
is a more detailed description of each objective.
i) Climate Objectives
The project’s climate objectives are to mitigate climate change through measures to alleviate the
drivers of deforestation. The resultant decrease in illegal logging, the recovery of already degraded
forests, and the reduction of forest conversion to other land uses is expected to decrease emissions
and enhance forest carbon stocks over time.
ii) Community Objectives
The project’s community objectives are to strengthen livelihood capitals as defined by some of the
Basic Sustainable Livelihoods Framework (SLF) (Richards 2011). These are: (i) strengthening local
governance through improvements to land-use planning and implementation; (ii) supporting the
development of sustainable economic and livelihoods alternatives through training and technical
assistance in agriculture and fisheries, harvesting equipment, and value chains for poor vulnerable
communities; (iii) enhancing local administrative, leadership capacity and environmental
awareness through training activities which intentionally include women from the communities; and
(iv) enhancing social capital through the creation or strengthening of institutions (corporations,
associations, cooperatives).
iii) Biodiversity Objectives
To contribute to biodiversity conservation through long-term improvements and connectivity of
dense natural forest cover and associated structural, compositional, functional and High
Conservation Value attributes, as compared to baseline scenario conditions","{'project_state_province': 'Choco', 'project_country': 'Colombia'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","3","3","1","215","-"
"What are the start and end dates of the crediting period for this project?","{'crediting_period_start': '2019-09-01', 'crediting_period_end': '2049-08-31'}","[['', 'Date', '', '', 'Project Activity or Event', ''], ['', '2019', '', '', 'Construction of 2 government ranger stations', ''], ['', '2022', '', '', 'Construction of 2 government ranger stations', '']]
2.1.15 Benefits Assessment and Crediting Period (G1.9)
PDR.7 The project crediting period start date and length.
The Project lifetime will be 30 years, commencing from the project start date of 1 September 2019 and
ending on 31 August 2049. The crediting (GHG accounting) period will be the same 30 years as the
lifetime of the Project.
PDR.8 The dates for mandatory baseline reevaluation after the project start date.
Per the VCS guidelines, a mandatory baseline re-evaluation is to be executed at a minimum of every 10
years after the project start. Therefore, there will be a mandatory baseline re-evaluation on or before 1
September 2029 and on or before 1 September 2039.
PDR.9 A timeline including the first anticipated monitoring period showing when project activities
will be implemented.
Table 6. Proposed Project timeline including project activities and first and second monitoring milestones.
CCB v3.0, VCS v3.3 32

[['', '2022', '', '', 'Opening of Project Office in Battambang', ''], ['', '2022', '', '', 'WA Database', ''], ['', '2023', '', '', 'SRP Community Water Wells-34 (565 families)', ''], ['', '2023', '', '', 'Agriculture- 21 families (IP village)', ''], ['', '2024', '', '', 'SRP community water wells-34', ''], ['', '2024', '', '', '1 ranger station in PSWS Battambang', '']]
CCB & VCS PROJECT DESCRIPTION:
CCB Version 3, VCS Version 3
PDR.10 A timeline for anticipated subsequent monitoring periods.
The following diagram depicts the proposed Samkos REDD+ Project validation and verification timeline.
Historic Reference Period Project Crediting Period
9002 0102 1102 2102 3102 4102 5102 6102 7102 8102 9102 0202 1202 2202 3202 4202 5202 6202 7202 8202 9202 0302 1302 2302 3302 4302 5302 6302 7302 8302 9302 0402 1402 2402 3402 4402 5402 6402 7402 8402 9402
eV eV eV eV eV eV eV eV eV eV eV eV eV eV eV eV eV eV eV eV eV eV eV eV eV eV eV eV eV eV eV
RB RB RB RB
Figure 6. Proposed Project verification and baseline re-evaluation timeline (Ve= Verification event; BR=
Baseline Re-evaluation).","{'crediting_period_start': '2019-09-01', 'crediting_period_end': '2049-08-31'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5","NaN","NaN","1","216","-"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","{'project_sector': 'Forestry and Land Use'}","1.2 Sectoral Scope and Project Type
The project is a grouped project developed under the requirements of Agriculture, Forestry and Other
Land Use (AFOLU) projects and is classified as an ""Avoided Unplanned Deforestation and Degradation""
(AUDD) project for Reduced Emissions from Deforestation and Degradation (REDD), as it seeks to reduce
deforestation and degradation and to conserve carbon stocks associated with above and below-ground
biomass. These activities are in accordance with REDD+ actions defined by the United Nations
Framework Convention on Climate Change (UNFCCC) in decision 1/CP.70.16.
4

Project Description: VCS Version 4.1","{'project_sector': 'Forestry and Land Use'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","217","-"
"What is the project province, country, latitude, and longitude of this project?","No relevant information found in context","","No relevant information found in context","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","218","-"
"What is the project province, country, latitude, and longitude of this project?","{'project_state_province': 'Guangdong Province', 'project_country': 'China'}","1.12 Project Location
The project is located in Xuwen County of Zhanjiang City in Guangdong Province, China.
The geographical coordinates of Xuwen County are between 109°52' and 110°35' E and
between 20°13' and 20°43' N.
The project is located in Xuwen County of Zhanjiang City, as shown in Figure 1-3. According
to VCS standard, Xuwen County is defined as the project zone, and the rice paddies applied
intermittent flooded water regime in Xuwen County are defined as the project area. Please
refer to Figure 3-1 for the boundaries of the project area and project zone is shown in Figure
1-3, and the KML file has also been submitted.
Guangdong Province
Figure 1-1 The map of China
8

Project Description: VCS Version 4.2
Figure 1-2 The map of Zhanjiang City in Guangdong Province
Figure 1-3 The map of project zone-Xuwen City in Zhanjiang City","{'project_state_province': 'Guangdong Province', 'project_country': 'China'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","219","-"
"What is the project province, country, latitude, and longitude of this project?","{'project_country': 'Brazil'}","2.1.1 Summary Description of the Project (G1.2)
The ITAÚBA REDD+ PROJECT aims at protecting forests in one of the regions having the highest
deforestation trends in the Amazon Biome: the municipalities of Itaúba and Marcelândia. Both the
municipalities are inside the “Arc of Deforestation” and since the colonization of the municipalities, besides
the damage caused to natural ecosystems, several social conflicts have emerged from the dynamics of
unsustainable land use, associated with the extensive deforestation and degradation activities. Throughout
time, communities with livelihoods based on family-scale agriculture and forest resources were expulsed
from the region and gave place to the large scale agricultural and pasture activities.
For the project period, the baseline scenario for the Project Area indicates that the historical patterns of
change in land-use would be reproduced: extensive deforestation and systematic conversion from forest to
soy crops and pasture areas for cattle ranching, far above the limits stablished by the Brazilian Forest Code.
The project activities are designed to avoid the deforestation drivers that would realize the referred baseline
in the without project scenario, with the long-term vision of restoring the relation of local communities of
rural workers with the forest areas and contribute with the transition to socioeconomic scenario build on
bioeconomy principles. With project activity approval, the proponents intend to improve the mechanisms of
remote and in loco surveillance, as well as implement activities that will result in other climate, community,
and biodiversity benefits.
7

[['', '', '', '', '', '', '', '', '', '', '', '', ''], ['', '', '', '', '', '', '', '', '', '', '', '', ''], ['', '', '', '', '', '', '', '', '', '', '', '', ''], ['', '', '', '', '', '', '', '', '', '', '', '', '']]
CCB & VCS PROJECT DESCRIPTION:
CCB Version 3, VCS Version 3
20.000,00
) s e
r c 15.000,00 a
(
a
e
r a
d 10.000,00 e
ts
e
r o
fe
D 5.000,00
0,00
2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021
ITAÚBA MARCELÂNDIA SUM
Figure 1: Annual increase of deforestation in the municipalities of Marcelândia and Itaúba. Source: [1]
The climate, community and biodiversity benefits of the project include but are not limited to:
- Avoided deforestation of 2,915 hectares of native Amazon Forest over 30 years, corresponding to an
estimated net GHG emission reduction of 859,641 tCO e by the end of the project (annual average of 2
28,655 tCO e). 2
- Technical training and capacity building on forest management, fire brigades, occupational health, and
safety in the local communities.
- Environmental education activities with the local communities.
- Monitoring of biodiversity and endangered species population trends inside the project area.
The ITAÚBA REDD+ PROJECT is contemplated in the sectoral scope of Agriculture, Forestry and Other
Land Use (AFOLU) under the Reducing Emissions from Deforestation and Degradation (REDD) Unplanned
Deforestation and Degradation (AUDD) category.","{'project_country': 'Brazil'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","220","-"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","{'project_sector': 'Renewable Energy'}","1.2 Sectoral Scope and Project Type
Sectoral scope: 1. Energy industries (renewable - / nonrenewable sources)
Project Type: Renewable Energy Projects
The proposed project activity is not a grouped project.","{'project_sector': 'Renewable Energy'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","221","-"
"What is the project province, country, latitude, and longitude of this project?","{'project_country': 'China'}","A.4.1. Location of the project activity:
>>

>>
People’s Republic of China
A.4.1.2. Region/State/Province etc.:
>>","{'project_country': 'China'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","5","1","5","1","222","-"
"What is the methodology of this project?","No relevant information found in context","2.2 Applicability of Methodology
2.2.1 Scope
The ecosystems present in the project area are not wetlands.","No relevant information found in context","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","223","-"
"What is the project proponents, includind organization name, phone number and email address, state/city and country of the entity responsible for managing this carbon project?","[{'organization_name': 'Beijing Rural Well-off Economy & Technology Development Center', 'email': 'guononginfo@gmail.com', 'country': 'China'}]","1.3 Project Proponent
The project developer, Beijing Rural Well-off Economy &Technology Development Center is the
sole Project Proponent. The contact information is shown as table 1.3
1 The investigation report on rural household biogas utilization and Rural household biogas digesters construction
work report show rural household burns coal to meet thermal demand in daily life.
4

[['', 'Organization', '', 'Beijing Rural Well-off Economy &Technology Development Center'], ['', 'Street/P.O. Box', '', 'No.25 South Landianchang Road'], ['', 'Building', '', 'Room 902, Jiayou building'], ['', 'City', '', 'Beijing'], ['', 'State/Region', '', 'Beijing'], ['', 'Postcode', '', '100097'], ['', 'Country', '', 'P.R. China'], ['', 'Telephone', '', '+86-10-88400565'], ['', 'Fax', '', '+86-10-88400876-818'], ['', 'E-mail', '', 'guononginfo@gmail.com'], ['', 'Contact person', '', 'HE Junyuan'], ['', 'Title', '', 'Director'], ['', 'Salutation', '', 'Mr.'], ['', 'Last name', '', 'He'], ['', 'First name', '', 'Junyuan'], ['', 'Mobile', '', '+86-18901362007'], ['', 'Direct fax', '', '+86-10-88400876-818'], ['', 'Direct tel.', '', '+86-10-88400565'], ['', 'Personal e-mail', '', 'hejunyuan@126.com']]
UNFCCC/CCNUCC
CDM – Executive Board Page 5
Table 1.3 Contact information of Project Proponent","[{'organization_name': 'Beijing Rural Well-off Economy &Technology', 'state/city': 'Beijing'}]","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","0.6","224","-"
"What are the start and end dates of the crediting period for this project?","{'crediting_period_start': '2021-07-01', 'crediting_period_end': '2041-06-30'}","1.9 Project Crediting Period
The project do not focus exclusively on the reduction of N O, CH and/or fossil-derived CO 2 4 2
emissions. And in line with the section 3.8.3 of VCS standard (version 4.4), the project crediting
period of the project is 20 years, starting from 01-July-2021 to 30-June-2041. And the project
crediting period will be renewed four times with a total project crediting period not to exceed 100
years.","{'crediting_period_start': '2021-07-01', 'crediting_period_end': '2121-06-30'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","0.75","225","-"
